,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
304,asv16S,Genus,physeq_Reference,All Samples,65,199,198,1,198,0.994974874,0.005025126,2.04296875,0.500550048,6.123076923,0.386466973,0.444197844
305,asv16S,Genus,physeq_Reference,50,63,173,173,0,Inf,1,0,1.725961538,0.449380136,5.492063492,0.268204844,0.302790217
306,asv16S,Genus,physeq_Reference,50,51,111,111,0,Inf,1,0,1.831530139,0.325292913,4.352941176,0.267956837,0.15866163
307,asv16S,Genus,physeq_Reference,50,55,126,126,0,Inf,1,0,1.771062271,0.545231506,4.581818182,0.254823758,0.256136606
308,asv16S,Genus,physeq_Reference,50,58,110,110,0,Inf,1,0,1.824675325,0.512345274,3.793103448,0.282360913,0.164187983
309,asv16S,Genus,physeq_Reference,50,70,218,216,2,108,0.990825688,0.009174312,2.551672862,0.479448463,6.228571429,0.371568202,0.333669609
310,asv16S,Genus,physeq_Reference,50,60,138,137,1,137,0.992753623,0.007246377,1.766323024,0.515817289,4.6,0.243755503,0.243391067
311,asv16S,Genus,physeq_Reference,50,61,153,152,1,152,0.993464052,0.006535948,1.781791908,0.443292242,5.016393443,0.274266289,0.222098214
312,asv16S,Genus,physeq_Reference,50,66,232,232,0,Inf,1,0,1.931163955,0.419399146,7.03030303,0.340333402,0.404134484
313,asv16S,Genus,physeq_Reference,50,63,197,197,0,Inf,1,0,1.764851485,0.426554229,6.253968254,0.269921123,0.269792467
314,asv16S,Genus,physeq_Reference,50,48,131,131,0,Inf,1,0,1.770577933,0.402608021,5.458333333,0.276597748,0.243613139
315,asv16S,Genus,physeq_Reference,50,73,279,276,3,92,0.989247312,0.010752688,1.746126341,0.537487024,7.643835616,0.343661873,0.441897655
316,asv16S,Genus,physeq_Reference,50,56,181,181,0,Inf,1,0,1.75,0.254855985,6.464285714,0.287301987,0.28201397
317,asv16S,Genus,physeq_Reference,50,72,245,243,2,121.5,0.991836735,0.008163265,2.254237288,0.579395628,6.805555556,0.346101799,0.396201985
318,asv16S,Genus,physeq_Reference,50,54,118,118,0,Inf,1,0,1.844827586,0.362910928,4.37037037,0.261276738,0.148390107
